Book title,Author Name,Ratings
Harry Potter: A History of Magic,British Library,13153
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike,Dinah Bucholz,14031
"Harry, a History: The True Story of a Boy Wizard, His Fans, and Life Inside the Harry Potter Phenomenon",Melissa Anelli,14961
"Harry Potter: The Prequel (Harry Potter, #0.5)",J.K. Rowling,19686
Selections from Harry Potter and the Order of the Phoenix: Piano Solos,John   Williams,26664
"Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,30862
Harry Potter Page to Screen: The Complete Filmmaking Journey,Bob McCabe,33887
"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",J.K. Rowling,51945
Harry Potter: Film Wizardry,Brian Sibley,57975
Harry Potter and the Chamber of Secrets: Sheet Music for Flute with C.D,John   Williams,67036
"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)",J.K. Rowling,94294
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,250371
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",John Tiffany,695808
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,2425112
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,2494299
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,2580772
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,2709527
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,2789408
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,2795923
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,7003900
